,year,division,match_id,half_type,play_time,goal_range
632,2013,1,2013-1-246,1,30,2
633,2013,1,2013-1-246,2,10,3
634,2013,1,2013-1-246,2,16,4
635,2013,1,2013-1-247,1,15,1
636,2013,1,2013-1-247,1,26,1
637,2013,1,2013-1-247,2,45,5
638,2013,1,2013-1-248,2,7,3
639,2013,1,2013-1-249,1,16,1
640,2013,1,2013-1-249,1,34,2
641,2013,1,2013-1-249,1,46,2
642,2013,1,2013-1-250,2,9,3
643,2013,1,2013-1-250,2,19,4
644,2013,1,2013-1-251,1,26,1
645,2013,1,2013-1-251,1,41,2
646,2013,1,2013-1-251,2,1,3
647,2013,1,2013-1-251,2,34,5
648,2013,1,2013-1-251,2,47,5
649,2013,1,2013-1-253,2,27,4
650,2013,1,2013-1-254,1,43,2
651,2013,1,2013-1-255,1,12,0
652,2013,1,2013-1-255,1,21,1
653,2013,1,2013-1-255,1,26,1
654,2013,1,2013-1-255,2,29,4
655,2013,1,2013-1-256,2,48,5
656,2013,1,2013-1-257,1,21,1
657,2013,1,2013-1-257,2,23,4
658,2013,1,2013-1-257,2,44,5
659,2013,1,2013-1-258,2,32,5
660,2013,1,2013-1-258,2,37,5
661,2013,1,2013-1-259,1,32,2
662,2013,1,2013-1-259,2,5,3
663,2013,1,2013-1-259,2,35,5
664,2013,1,2013-1-259,2,40,5
665,2013,1,2013-1-260,2,34,5
666,2013,1,2013-1-261,1,41,2
667,2013,1,2013-1-261,2,41,5
668,2013,1,2013-1-262,2,50,5
669,2013,1,2013-1-263,1,20,1
670,2013,1,2013-1-263,2,29,4
671,2013,1,2013-1-263,2,48,5
672,2013,1,2013-1-264,2,33,5
673,2013,1,2013-1-264,2,45,5
674,2013,1,2013-1-266,1,35,2
675,2013,1,2013-1-266,2,1,3
676,2013,1,2013-1-266,2,4,3
677,2013,2,2013-2-001,1,30,2
678,2013,2,2013-2-001,2,14,3
679,2013,2,2013-2-001,2,28,4
680,2013,2,2013-2-002,1,12,0
681,2013,2,2013-2-002,2,5,3
682,2013,2,2013-2-002,2,9,3
683,2013,2,2013-2-002,2,38,5
684,2013,2,2013-2-002,2,43,5
685,2013,2,2013-2-003,1,18,1
686,2013,2,2013-2-003,1,25,1
687,2013,2,2013-2-003,2,9,3
688,2013,2,2013-2-003,2,20,4
689,2013,2,2013-2-004,1,2,0
690,2013,2,2013-2-004,2,33,5
691,2013,2,2013-2-005,1,5,0
692,2013,2,2013-2-005,1,45,2
693,2013,2,2013-2-005,2,26,4
694,2013,2,2013-2-005,2,48,5
